EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2015-1-1,50,38,25,32,22,16,75,52,28,30.32,30.23,30.14,10,10,10,23,10,29,0.00,0,,229
2015-1-2,52,46,40,36,33,28,73,57,41,30.41,30.29,30.16,10,10,10,21,6,28,0.00,4,,271
2015-1-3,55,49,42,54,44,33,93,77,60,30.45,30.28,30.14,10,5,0,14,6,19,0.07,8,Fog-Rain,76
2015-1-4,75,65,55,65,61,41,93,80,66,30.13,30.00,29.84,10,8,1,29,16,39,0.06,6,Rain,213
2015-1-5,61,49,37,38,25,13,54,39,24,30.45,30.26,29.98,10,10,10,17,10,25,0.00,0,,316
2015-1-6,51,42,33,32,24,17,76,56,35,30.42,30.22,30.05,10,10,10,17,7,25,0.00,0,,50
2015-1-7,40,30,19,28,15,-5,82,57,31,30.45,30.15,30.04,10,10,10,22,10,36,0.00,4,,341
2015-1-8,25,20,14,1,-5,-8,43,34,25,30.63,30.52,30.39,10,10,10,24,10,37,0.00,0,,290
2015-1-9,46,34,22,22,11,0,52,39,25,30.34,30.20,30.09,10,10,10,22,11,26,0.00,3,,237
2015-1-10,35,27,18,21,14,7,65,51,36,30.63,30.52,30.30,10,10,10,16,6,20,0.00,0,,6
2015-1-11,47,32,17,30,19,13,77,54,30,30.70,30.61,30.51,10,10,10,10,3,13,0.00,1,,143
2015-1-12,60,50,39,58,46,30,100,85,70,30.50,30.23,30.10,10,5,0,16,5,22,1.07,8,Rain,202
2015-1-13,41,37,32,38,31,26,92,81,70,30.46,30.38,30.18,10,6,1,29,19,35,0.04,8,Rain-Snow,16
2015-1-14,36,34,32,34,32,28,92,87,82,30.37,30.22,30.16,10,5,2,22,16,31,0.42,8,Rain-Snow,359
2015-1-15,38,35,32,32,30,28,89,82,75,30.22,30.14,30.04,10,8,5,14,6,17,0.00,7,,325
2015-1-16,51,43,34,34,31,25,96,66,36,30.22,30.04,29.99,10,8,2,15,7,22,0.00,2,,263
2015-1-17,44,38,32,36,25,18,79,64,49,30.43,30.32,30.21,10,10,10,20,9,23,0.00,1,,75
2015-1-18,59,51,42,52,45,31,93,75,56,30.18,29.92,29.74,10,8,1,25,11,32,0.94,6,Rain,216
2015-1-19,50,43,35,34,31,28,79,63,46,30.03,29.97,29.91,10,10,10,12,6,16,0.00,2,,224
